artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name,preview_url,preview_url
Afara Tsena,0.296,https://api.spotify.com/v1/audio-analysis/3P5wVufq5aP1hDMl1W1qvO,0.692,247853,0.689,3P5wVufq5aP1hDMl1W1qvO,7.12E-06,10,0.169,-8.044,0,0.223,90.019,3,https://api.spotify.com/v1/tracks/3P5wVufq5aP1hDMl1W1qvO,audio_features,spotify:track:3P5wVufq5aP1hDMl1W1qvO,0.752,Afro Mbokalisation,https://p.scdn.co/mp3-preview/c14303a992ecff3ed5e9368bc85c38863f4014a1?cid=f0ab2ded1b8a482188532d1f3441d07c,3P5wVufq5aP1hDMl1W1qvO
Afroto,0.164,https://api.spotify.com/v1/audio-analysis/4K2VD5qMwcjIsLFYtrrQDz,0.765,200736,0.52,4K2VD5qMwcjIsLFYtrrQDz,0,0,0.157,-7.035,0,0.113,109.874,4,https://api.spotify.com/v1/tracks/4K2VD5qMwcjIsLFYtrrQDz,audio_features,spotify:track:4K2VD5qMwcjIsLFYtrrQDz,0.444,Msh Bel 7ozoz - مش بالحظوظ,https://p.scdn.co/mp3-preview/eb65444e7a0575ee60458c860c85167c4056a297?cid=f0ab2ded1b8a482188532d1f3441d07c,4K2VD5qMwcjIsLFYtrrQDz
Lotus Beatz,0.25,https://api.spotify.com/v1/audio-analysis/2AI8fGSxjfOTLz60yUHUOn,0.918,112489,0.705,2AI8fGSxjfOTLz60yUHUOn,7.39E-05,0,0.102,-8.868,1,0.126,138.025,4,https://api.spotify.com/v1/tracks/2AI8fGSxjfOTLz60yUHUOn,audio_features,spotify:track:2AI8fGSxjfOTLz60yUHUOn,0.719,Afro the influence,https://p.scdn.co/mp3-preview/3146d8d18683a86a6376d3ae0c15ed6df413119f?cid=f0ab2ded1b8a482188532d1f3441d07c,2AI8fGSxjfOTLz60yUHUOn
Afroto,0.0358,https://api.spotify.com/v1/audio-analysis/2zRBarompNSVRlcHkoxygz,0.795,219342,0.595,2zRBarompNSVRlcHkoxygz,0,5,0.253,-7.171,0,0.297,151.114,4,https://api.spotify.com/v1/tracks/2zRBarompNSVRlcHkoxygz,audio_features,spotify:track:2zRBarompNSVRlcHkoxygz,0.504,Mazalat,https://p.scdn.co/mp3-preview/0ab8b5d52024617972c812f34a9d072961b6033e?cid=f0ab2ded1b8a482188532d1f3441d07c,2zRBarompNSVRlcHkoxygz
Afro-Rican,0.000509,https://api.spotify.com/v1/audio-analysis/5oahvbyG1MJdvfiJahlwlL,0.781,311973,0.848,5oahvbyG1MJdvfiJahlwlL,0.701,7,0.214,-8.939,1,0.0802,129.3,4,https://api.spotify.com/v1/tracks/5oahvbyG1MJdvfiJahlwlL,audio_features,spotify:track:5oahvbyG1MJdvfiJahlwlL,0.115,Give It All You Got - 504 Booty Breaks Mix,https://p.scdn.co/mp3-preview/7e699909d528ae06b21053263e7a004bd63fa256?cid=f0ab2ded1b8a482188532d1f3441d07c,5oahvbyG1MJdvfiJahlwlL
Afroto,0.253,https://api.spotify.com/v1/audio-analysis/1QcOE9wJeillm0WK0oujtD,0.814,195643,0.62,1QcOE9wJeillm0WK0oujtD,0,7,0.368,-5.092,1,0.117,140.134,4,https://api.spotify.com/v1/tracks/1QcOE9wJeillm0WK0oujtD,audio_features,spotify:track:1QcOE9wJeillm0WK0oujtD,0.597,ANA DEAL,https://p.scdn.co/mp3-preview/644147bab951f5051474bd559339a76520412f58?cid=f0ab2ded1b8a482188532d1f3441d07c,1QcOE9wJeillm0WK0oujtD
Afroto,0.386,https://api.spotify.com/v1/audio-analysis/2iFj2z7KNZjQfYZHVk02ZT,0.765,177551,0.591,2iFj2z7KNZjQfYZHVk02ZT,0,7,0.117,-9.773,1,0.438,97.963,4,https://api.spotify.com/v1/tracks/2iFj2z7KNZjQfYZHVk02ZT,audio_features,spotify:track:2iFj2z7KNZjQfYZHVk02ZT,0.367,SAN STEFANO,https://p.scdn.co/mp3-preview/9c22756e99668e10a2ee593ab7c32ee878e3c261?cid=f0ab2ded1b8a482188532d1f3441d07c,2iFj2z7KNZjQfYZHVk02ZT
Afroto,0.0184,https://api.spotify.com/v1/audio-analysis/5ptN0LBbIyZrxP9RLAwq5N,0.783,196364,0.59,5ptN0LBbIyZrxP9RLAwq5N,0,11,0.0835,-10.527,1,0.222,164.933,4,https://api.spotify.com/v1/tracks/5ptN0LBbIyZrxP9RLAwq5N,audio_features,spotify:track:5ptN0LBbIyZrxP9RLAwq5N,0.711,Tege Goal,https://p.scdn.co/mp3-preview/d1235b7d3c34322212f7b505ff3b20d872dd5fa8?cid=f0ab2ded1b8a482188532d1f3441d07c,5ptN0LBbIyZrxP9RLAwq5N
MHD,0.152,https://api.spotify.com/v1/audio-analysis/0D0np8Odu1PNamKfajA6AX,0.962,137133,0.726,0D0np8Odu1PNamKfajA6AX,0,10,0.0654,-5.697,1,0.4,123.066,4,https://api.spotify.com/v1/tracks/0D0np8Odu1PNamKfajA6AX,audio_features,spotify:track:0D0np8Odu1PNamKfajA6AX,0.566,Afro Trap Pt. 3 (Champions League),https://p.scdn.co/mp3-preview/d108b629455c92ecd0c6a9c3cb4f0fa073a29ac9?cid=f0ab2ded1b8a482188532d1f3441d07c,0D0np8Odu1PNamKfajA6AX
Afroto,0.0481,https://api.spotify.com/v1/audio-analysis/4KkZaDtLIuCiCUH6Zwy0rx,0.829,158849,0.783,4KkZaDtLIuCiCUH6Zwy0rx,0,0,0.216,-5.614,0,0.0572,138.992,4,https://api.spotify.com/v1/tracks/4KkZaDtLIuCiCUH6Zwy0rx,audio_features,spotify:track:4KkZaDtLIuCiCUH6Zwy0rx,0.869,HARAZEEK,https://p.scdn.co/mp3-preview/99e37de1d63a70edd0ff1641d31d370512fd1d6b?cid=f0ab2ded1b8a482188532d1f3441d07c,4KkZaDtLIuCiCUH6Zwy0rx
